epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,34134.9,1.15203,1.22198,1.24925,0.64651,0.37278,0.43868,0.30466,1.1582,1.28695,1.26607,0.000958,0.000958,0.000958
139,34373.5,1.14119,1.19591,1.24114,0.63241,0.37771,0.43492,0.30173,1.15829,1.29184,1.2693,0.000892,0.000892,0.000892
140,34609.3,1.15274,1.19885,1.23623,0.6315,0.38856,0.4393,0.30512,1.16119,1.28721,1.27442,0.000826,0.000826,0.000826
141,34853.8,1.11443,1.093,1.20832,0.63098,0.38784,0.43842,0.30408,1.15734,1.29485,1.26883,0.00076,0.00076,0.00076
142,35091.2,1.11283,1.09356,1.21299,0.62627,0.38363,0.4355,0.30249,1.16031,1.29886,1.27406,0.000694,0.000694,0.000694
143,35327.8,1.11387,1.09831,1.20756,0.64731,0.38363,0.43634,0.30353,1.15529,1.28173,1.26901,0.000628,0.000628,0.000628
144,35562.6,1.11309,1.08542,1.21635,0.63457,0.38856,0.43834,0.30442,1.15869,1.28771,1.27005,0.000562,0.000562,0.000562
145,35796.5,1.10078,1.07017,1.20249,0.62378,0.38955,0.43642,0.30447,1.15443,1.28121,1.26714,0.000496,0.000496,0.000496
146,36030.7,1.11325,1.09016,1.21098,0.6416,0.39053,0.44205,0.30572,1.15975,1.281,1.26647,0.00043,0.00043,0.00043
147,36266.7,1.11046,1.09398,1.20953,0.62313,0.39842,0.44056,0.30491,1.16208,1.28158,1.26648,0.000364,0.000364,0.000364
148,36501,1.10355,1.08321,1.20181,0.62457,0.39448,0.43936,0.30351,1.16561,1.28556,1.27184,0.000298,0.000298,0.000298
149,36736.6,1.10786,1.07951,1.21016,0.63572,0.38723,0.43889,0.30269,1.16523,1.29371,1.27507,0.000232,0.000232,0.000232
150,36970.8,1.10438,1.07504,1.19975,0.63112,0.39448,0.44045,0.30333,1.16452,1.28902,1.27374,0.000166,0.000166,0.000166
