epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,15222.1,0.86024,0.68863,1.0145,0.67169,0.47732,0.52685,0.39194,0.96585,1.07302,1.10969,0.0004952,0.0004952,0.0004952
116,15353.4,0.88109,0.70126,1.02513,0.69994,0.46468,0.5262,0.39307,0.94807,1.0538,1.09919,0.000482,0.000482,0.000482
117,15484.5,0.85843,0.67697,1.00557,0.67772,0.47337,0.52467,0.38848,0.96545,1.073,1.11341,0.0004688,0.0004688,0.0004688
118,15616.2,0.86426,0.67379,1.00902,0.75452,0.44773,0.52849,0.39514,0.95882,1.05175,1.11521,0.0004556,0.0004556,0.0004556
119,15747.7,0.85044,0.66342,1.00095,0.75777,0.45168,0.53091,0.39603,0.94532,1.04758,1.10212,0.0004424,0.0004424,0.0004424
120,15879,0.85317,0.67307,1.00197,0.70873,0.46647,0.52841,0.39342,0.94652,1.06287,1.10332,0.0004292,0.0004292,0.0004292
121,16010.6,0.84931,0.66049,0.99973,0.69231,0.4714,0.53034,0.39916,0.93895,1.05052,1.09703,0.000416,0.000416,0.000416
122,16142.2,0.85013,0.65985,1.00571,0.72195,0.46943,0.52764,0.39279,0.94689,1.06361,1.10372,0.0004028,0.0004028,0.0004028
123,16273.5,0.85178,0.64815,1.00458,0.70543,0.47732,0.52733,0.39151,0.94629,1.06458,1.10691,0.0003896,0.0003896,0.0003896
124,16404.8,0.85176,0.65981,0.99799,0.71478,0.45858,0.52831,0.39568,0.94294,1.06544,1.10024,0.0003764,0.0003764,0.0003764
125,16536.2,0.85133,0.64847,1.0081,0.69027,0.46746,0.52995,0.39647,0.95098,1.07893,1.10714,0.0003632,0.0003632,0.0003632
126,16668,0.86384,0.6495,1.00269,0.69513,0.46548,0.5283,0.39378,0.94175,1.07044,1.09968,0.00035,0.00035,0.00035
127,16799.4,0.84658,0.65877,1.00599,0.71609,0.46762,0.52693,0.39192,0.94745,1.08043,1.10149,0.0003368,0.0003368,0.0003368
128,16931,0.85882,0.6476,1.00183,0.7141,0.46801,0.52974,0.39428,0.94786,1.06504,1.10369,0.0003236,0.0003236,0.0003236
